0.000329 1.311468 0
0.735424 0.658264 0
0.376224 0.490715 1
0.975874 1.280795 0
0.530449 0.642754 1
0.107087 2.038719 1
0.900545 1.130072 0
0.245389 0.618520 1
0.188274 0.808310 1
0.103457 2.018435 0
0.534411 2.111135 0
0.737019 0.195832 0
0.539009 0.327522 1
0.862525 1.161491 0
0.471973 1.125012 0
0.233475 0.030794 1
0.023026 2.483774 0
0.915439 1.964594 0
0.570820 1.923101 0
0.623570 0.860560 0
0.375633 0.667780 1
0.351737 1.602363 1
0.363780 0.132018 1
0.528658 0.394249 1
0.453819 0.823198 1
0.192781 0.161835 1
0.986526 1.365218 0
0.089129 2.483256 0
0.433730 1.753910 0
0.186740 1.359254 1
0.995430 0.474904 0
0.684262 0.998459 0
0.438969 1.867552 0
0.178069 2.026954 1
0.806098 0.243653 0
0.029698 0.334926 1
0.637436 0.950831 0
0.249391 1.266812 1
0.521158 0.258818 1
0.983599 0.871477 0
0.768327 0.663364 0
0.666443 2.287807 0
0.466380 1.102059 1
0.921430 1.168260 0
0.977231 0.800082 0
0.794185 2.163792 0
0.742640 1.393739 0
0.826770 1.328064 0
0.307392 0.858617 1
0.311325 1.116435 1
0.566767 1.631324 0
0.062920 1.224409 1
0.456239 0.023755 1
0.701041 0.970644 0
0.446893 2.340412 0
0.125152 1.070728 1
0.292522 1.027436 1
0.243670 0.914159 1
0.710236 2.338909 0
0.017819 1.194862 0
0.821594 1.331756 0
0.125983 1.000793 1
0.128804 2.031057 1
0.391687 0.190635 1
0.597628 0.841651 0
0.253608 0.966162 1
0.314073 1.541352 1
0.204218 0.711160 1
0.989123 0.490965 0
0.661838 1.285444 0
0.784562 0.317927 0
0.358138 0.555914 1
0.298814 0.420503 1
0.956430 1.814361 0
0.589309 1.294028 0
0.489282 0.914990 1
0.293294 0.974506 1
0.408486 1.073261 1
0.321911 0.881643 1
0.108629 1.822665 1
0.409354 0.025339 1
0.351195 1.341285 1
0.191758 2.175717 1
0.912891 2.412208 0
0.794445 0.582869 0
0.509918 0.493079 1
0.871292 2.030848 0
0.984670 0.860598 0
0.628409 1.686484 0
0.892433 0.307265 0
0.680014 2.491518 0
0.975673 0.325812 0
0.369134 0.101080 1
0.542879 0.436798 1
0.505275 0.390283 1
0.793018 0.625367 0
0.216537 0.843956 1
0.745428 1.035723 0
0.957433 1.437563 0
0.451873 1.593226 0
0.937198 1.231698 0
0.460111 0.213565 1
0.753326 0.378201 0
0.571881 1.515640 0
0.344225 0.972991 1
0.222099 2.039400 1
0.481624 1.623506 0
0.509077 0.142445 1
0.630254 1.686225 0
0.152068 2.004702 1
0.213307 0.123678 1
0.459555 1.845357 0
0.963737 1.339032 0
0.042521 1.615158 0
0.381299 1.246559 1
0.367072 0.951961 1
0.845829 2.115475 0
0.914592 1.383062 0
0.052343 1.832460 0
0.260761 1.539243 1
0.023173 1.171184 0
0.636335 2.198241 0
0.336639 2.209491 0
0.962899 1.128470 0
0.480507 2.216788 0
0.024992 0.092295 1
0.480785 1.370174 0
0.405459 1.360990 1
